数据集,增强策略,样本数,Accuracy,Precision,Recall,F1-Score,ROC-AUC
原始（对照）,original,2548,0.9988,0.9978,1.0,0.9989,0.9991
建立信任,credibility,2548,0.9965,0.9943,0.9993,0.9968,0.9987
制造紧迫感,urgency,2548,0.998,0.9964,1.0,0.9982,0.9991
情感操纵,emotional,2548,0.9984,0.9971,1.0,0.9986,0.9991
组合策略,combined,2548,0.9945,0.99,1.0,0.995,0.9991
